document_id,doc_title,date
88,100826-2009-05-08.txt,2009Q1
89,100548-2009-02-09.txt,2009Q1
90,1003078-2009-04-03.txt,2009Q1
91,100493-2009-02-02.txt,2009Q1
92,100885-2009-04-24.txt,2009Q1
93,1015328-2009-05-11.txt,2009Q1
94,1001902-2009-05-01.txt,2009Q1
95,1005757-2009-05-08.txt,2009Q1
96,1005286-2009-04-08.txt,2009Q1
97,1016281-2009-05-08.txt,2009Q1
98,1010086-2009-05-11.txt,2009Q1
99,101538-2009-05-15.txt,2009Q1
100,1006830-2009-02-17.txt,2009Q1
101,1013606-2009-05-08.txt,2009Q1
102,1012019-2009-05-11.txt,2009Q1
103,1000683-2009-05-14.txt,2009Q1
104,1006281-2009-05-11.txt,2009Q1
105,1002135-2009-02-09.txt,2009Q1
106,1005210-2009-05-07.txt,2009Q1
107,1008654-2009-05-06.txt,2009Q1
108,1009829-2009-05-11.txt,2009Q1
109,1003078-2009-01-08.txt,2009Q1
110,100378-2009-05-06.txt,2009Q1
111,1013237-2009-04-09.txt,2009Q1
112,1000045-2009-02-09.txt,2009Q1
113,100726-2009-05-08.txt,2009Q1
114,1012620-2009-05-07.txt,2009Q1
115,1010470-2009-02-09.txt,2009Q1
116,100122-2009-05-06.txt,2009Q1
117,1000298-2009-05-11.txt,2009Q1
118,D_Trump2018_8_18_19_39,2009Q1
119,D_Trump2018_8_18_13_39,2009Q1
1,1005210-2009-02-05.txt,2009Q2
2,100625-2009-05-13.txt,2009Q2
3,1006830-2009-05-15.txt,2009Q2
4,100548-2009-05-08.txt,2009Q2
5,1017303-2009-05-11.txt,2009Q2
6,1000229-2009-04-24.txt,2009Q2
7,1000623-2009-05-06.txt,2009Q2
8,1013237-2009-01-09.txt,2009Q2
9,101778-2009-05-08.txt,2009Q2
10,1009672-2009-05-06.txt,2009Q2
11,1000697-2009-05-08.txt,2009Q2
12,100493-2009-05-04.txt,2009Q2
13,1003410-2009-05-14.txt,2009Q2
14,1007587-2009-05-06.txt,2009Q2
15,1016178-2009-02-17.txt,2009Q2
16,1012100-2009-05-08.txt,2009Q2
17,100378-2009-02-04.txt,2009Q2
18,1005409-2009-05-11.txt,2009Q2
19,1010470-2009-05-08.txt,2009Q2
20,1005286-2009-01-08.txt,2009Q2
21,1013871-2009-04-30.txt,2009Q2
22,1014473-2009-05-08.txt,2009Q2
23,1013462-2009-05-08.txt,2009Q2
24,1016125-2009-05-11.txt,2009Q2
25,1000232-2009-05-15.txt,2009Q2
26,1002517-2009-02-09.txt,2009Q2
27,101829-2009-04-24.txt,2009Q2
28,1001082-2009-05-11.txt,2009Q2
29,1011060-2009-02-17.txt,2009Q2
30,1017655-2009-05-08.txt,2009Q2
31,1001250-2009-05-05.txt,2009Q2
32,1007019-2009-03-12.txt,2009Q2
33,1016504-2009-05-20.txt,2009Q2
34,1010612-2009-05-06.txt,2009Q2
35,10048-2009-05-14.txt,2009Q2
36,1002517-2009-05-11.txt,2009Q2
37,1005276-2009-02-13.txt,2009Q2
38,1001838-2009-05-11.txt,2009Q2
39,1000230-2009-03-16.txt,2009Q2
40,1012771-2009-05-11.txt,2009Q2
41,1001171-2009-05-14.txt,2009Q2
42,1002638-2009-05-07.txt,2009Q2
43,1001039-2009-02-03.txt,2009Q2
44,1005101-2009-05-15.txt,2009Q2
45,1005817-2009-05-08.txt,2009Q2
46,1013272-2009-05-11.txt,2009Q2
47,1002910-2009-05-08.txt,2009Q2
48,1000209-2009-05-08.txt,2009Q2
49,1000228-2009-05-04.txt,2009Q2
50,1013857-2009-05-05.txt,2009Q2
51,1014739-2009-05-05.txt,2009Q2
